CHR	Start	End
6	106245743	106245955
6	106325691	106326063
6	106196018	106196385
6	106203009	106203338
6	106328275	106328350
6	106281802	106282152
6	106204715	106204769
6	106265917	106265969
6	106185363	106185522
6	106210572	106210642
6	106243565	106243794
6	106206071	106206117
6	106311952	106312158
6	106196003	106196120
6	106274811	106274890
6	106186842	106186983
6	106335270	106335300
6	106327934	106328039
6	106248751	106248906
6	106215267	106215380
6	106325788	106325867
6	106263156	106263213
6	106340786	106340929
6	106339549	106339646
6	106332648	106332691
6	106285718	106285749
6	106204667	106204765
6	106250561	106250633
6	106194883	106195111
6	106184990	106185046
6	106236299	106236444
6	106182636	106182681
6	106223256	106223473
6	106246265	106246361
6	106209550	106209614
6	106223624	106223674
6	106195088	106195245
6	106284322	106284394
6	106273692	106273814
6	106271966	106272025
6	106332234	106332351
6	106325551	106325593
6	106233165	106233226
6	106266855	106266903
6	106318165	106318262
6	106286558	106286649
6	106325760	106325861
6	106300435	106300696
6	106325066	106325320
6	106278028	106278071
6	106287994	106288072
6	106235988	106236014
6	106254451	106254796
6	106220710	106220773
6	106228065	106228102
6	106271116	106271234
6	106225047	106225110
6	106244633	106244749
6	106313107	106313178
6	106283237	106283296
6	106228065	106228110
6	106299125	106299222
6	106338396	106338462
6	106187749	106187821
6	106257517	106257686
6	106325710	106325762
6	106289448	106289590
6	106325818	106325866
6	106286811	106286864
6	106260039	106260217
6	106325735	106325889
6	106325373	106325656
6	106339237	106339371
6	106202673	106202753
6	106211831	106211892
6	106238082	106238200
6	106283150	106283242
6	106297828	106298017
6	106281921	106281966
6	106258956	106259347
6	106325559	106325638
6	106325313	106325447
6	106318083	106318169
6	106279171	106279256
6	106246261	106246319
6	106268380	106268474
6	106245120	106245408
6	106331330	106331385
6	106283967	106284048
6	106197640	106197689
6	106270427	106270629
6	106183219	106183485
6	106325718	106325892
6	106284206	106284293
6	106325570	106325862
6	106325749	106325852
6	106187240	106187334
6	106234126	106234164
6	106326102	106326153
6	106222093	106222148
6	106325609	106325661
6	106211427	106211508
6	106195357	106195469
6	106250226	106250316
6	106204726	106204766
6	106246943	106247029
6	106194941	106195054
6	106248085	106248145
6	106246245	106246285
6	106216103	106216214
6	106283565	106283834
6	106243248	106243401
6	106287809	106287904
6	106180856	106180950
6	106200980	106201022
6	106189420	106189569
6	106325528	106325685
6	106210230	106210615
6	106256410	106256571
6	106208260	106208413
6	106228864	106229020
6	106307514	106307601
6	106264963	106265055
6	106199950	106200037
6	106182951	106183138
6	106224445	106224655
6	106335212	106335241
6	106249707	106249752
6	106324414	106324514
6	106273484	106273547
6	106292805	106292898
6	106213318	106213361
6	106306981	106307051
6	106197071	106197223
6	106260060	106260125
6	106235990	106236198
6	106322354	106322598
6	106338804	106338839
6	106325389	106325448
6	106238782	106238891
6	106180926	106181053
6	106240416	106240513
6	106283365	106283427
6	106262188	106262395
6	106262188	106262396
6	106274072	106274301
6	106335445	106335508
6	106258327	106258453
6	106239949	106240031
6	106220711	106220807
6	106239053	106239114
6	106293947	106294018
6	106229421	106229550
6	106325639	106325754
6	106207120	106207224
6	106187723	106187966
6	106238222	106238431
6	106223457	106223530
6	106197630	106197669
6	106301131	106301194
6	106195250	106195325
6	106324929	106324958
6	106327030	106327079
6	106239246	106239305
6	106207033	106207103
6	106181049	106181132
6	106245430	106245591
6	106200631	106200720
6	106325424	106325516
6	106325505	106325788
6	106325169	106325252
6	106203450	106203516
6	106324334	106324381
6	106216711	106216819
6	106330810	106330963
6	106221332	106221623
6	106276450	106276555
6	106245046	106245147
6	106298305	106298380
6	106339459	106339551
6	106183720	106183901
6	106325761	106325789
6	106221366	106221429
6	106334082	106334158
6	106300595	106300646
6	106232119	106232183
6	106325434	106325563
6	106325435	106325563
6	106335900	106336046
6	106240880	106241101
6	106312632	106312677
6	106194935	106195308
6	106325464	106325570
6	106275958	106276185
6	106304200	106304234
6	106325733	106325783
6	106257424	106257507
6	106325867	106326241
6	106180130	106180256
6	106325178	106325373
6	106286581	106287028
6	106237744	106237883
6	106229319	106229646
6	106319121	106319187
6	106325710	106325745
6	106333111	106333193
6	106339434	106339490
6	106288022	106288174
6	106326778	106326831
6	106325449	106325579
6	106217585	106217763
6	106336347	106336473
6	106335281	106335334
6	106180190	106180255
6	106300867	106300948
6	106204437	106204694
6	106325141	106325197
6	106195247	106195308
6	106212152	106212243
6	106335184	106335237
6	106260910	106261077
6	106204631	106204775
6	106307254	106307503
6	106307254	106307504
6	106264418	106264462
6	106180210	106180246
6	106325527	106325570
6	106180632	106180715
6	106234221	106234271
6	106225676	106225730
6	106221576	106221623
6	106259841	106260039
6	106258751	106258962
6	106189501	106189565
6	106323177	106323261
6	106184615	106184635
6	106304443	106304486
6	106257707	106257799
6	106273194	106273313
6	106325563	106325634
6	106325522	106325869
6	106269723	106269933
6	106180197	106180251
6	106331701	106331764
6	106191585	106191835
6	106243364	106243515
6	106271028	106271089
6	106335375	106335548
6	106206784	106206851
6	106325464	106325527
6	106206355	106206616
6	106220560	106220639
6	106263083	106263241
6	106325661	106325705
6	106256284	106256362
6	106338818	106338868
6	106305500	106305564
6	106186420	106186480
6	106214651	106214715
6	106322116	106322191
6	106200963	106201082
6	106204029	106204134
6	106325673	106325756
6	106311907	106311978
6	106181149	106181256
6	106332518	106332662
6	106220053	106220246
6	106290378	106290473
6	106268982	106269124
6	106285930	106285991
6	106223595	106223670
6	106236849	106236958
6	106247504	106247571
6	106335622	106335800
6	106325391	106325509
6	106285246	106285313
6	106336323	106336392
6	106284811	106284875
6	106180380	106180438
6	106325533	106325627
6	106339007	106339130
6	106185989	106186084
6	106196383	106196437
6	106284107	106284206
6	106324598	106324731
6	106324597	106324731
6	106198527	106198588
6	106325701	106325731
6	106316221	106316561
6	106259613	106259834
6	106329798	106329863
6	106246769	106246821
6	106293274	106293337
6	106224176	106224237
6	106280209	106280240
6	106188366	106188432
6	106232109	106232137
6	106224938	106225074
6	106325841	106325898
6	106322788	106322839
6	106325387	106325571
6	106222047	106222118
6	106248029	106248087
6	106326176	106326386
6	106269644	106269776
6	106323918	106323950
6	106181460	106181540
6	106238487	106238550
6	106325338	106325458
6	106235441	106235609
6	106195054	106195192
6	106233479	106233613
6	106301179	106301252
6	106334733	106334958
6	106286288	106286332
6	106180972	106181043
6	106325511	106325619
6	106319918	106319960
6	106338025	106338090
6	106325570	106325715
6	106209323	106209392
6	106195001	106195314
6	106339330	106339492
6	106322210	106322306
6	106302138	106302215
6	106325435	106325627
6	106274351	106274394
6	106324660	106324902
6	106239312	106239387
6	106282903	106282989
6	106241982	106242077
6	106325862	106325915
6	106325570	106325783
6	106299341	106299471
6	106194577	106194625
6	106264607	106264644
6	106185469	106185661
6	106301994	106302377
6	106182900	106182982
6	106195250	106195329
6	106214209	106214436
