CHR	Start	End
6	106236414	106236551
6	106200303	106200337
6	106303564	106303932
6	106180010	106180195
6	106314364	106314504
6	106313363	106313442
6	106325782	106325871
6	106280330	106280463
6	106325451	106325745
6	106211365	106211706
6	106325468	106325666
6	106298057	106298259
6	106270895	106271009
6	106248721	106248906
6	106250836	106251170
6	106329948	106330014
6	106267577	106267914
6	106212276	106212411
6	106195647	106195721
6	106331454	106331577
6	106220695	106220827
6	106322829	106323142
6	106214642	106214752
6	106329921	106330014
6	106303095	106303447
6	106220454	106220864
6	106204972	106205125
6	106270716	106270878
6	106251870	106251950
6	106226638	106226925
6	106286987	106287096
6	106221804	106221872
6	106314027	106314251
6	106253104	106253311
6	106314026	106314251
6	106204549	106204936
6	106326191	106326321
6	106224482	106224641
6	106225876	106225966
6	106179954	106180374
6	106224093	106224148
6	106216021	106216133
6	106237782	106237886
6	106223094	106223218
6	106220137	106220437
6	106334786	106334956
6	106326755	106327162
6	106231155	106231216
6	106294209	106294537
6	106325752	106325856
6	106247434	106247558
6	106196362	106196392
6	106324407	106324438
6	106271473	106271557
6	106261796	106262196
6	106182234	106182298
6	106200615	106200739
6	106272730	106273027
6	106327356	106327584
6	106325521	106325866
6	106323926	106323980
6	106194606	106194792
6	106335288	106335429
6	106245169	106245363
6	106198749	106198868
6	106197604	106197651
6	106297816	106297945
6	106219271	106219398
6	106205132	106205295
6	106331098	106331435
6	106330448	106330502
6	106269404	106269503
6	106295347	106295780
6	106283017	106283066
6	106219184	106219247
6	106187685	106187959
6	106254360	106254561
6	106181820	106182055
6	106292009	106292125
6	106322496	106322574
6	106307983	106308176
6	106263305	106263404
6	106194032	106194179
6	106194032	106194180
6	106332335	106332459
6	106323983	106324079
6	106335212	106335404
6	106316188	106316293
6	106334418	106334555
6	106281684	106281719
6	106281684	106281720
6	106325380	106325634
6	106268961	106269224
6	106188571	106188698
6	106270883	106270987
6	106263102	106263212
6	106258642	106258978
6	106309134	106309179
6	106244863	106245025
6	106199213	106199374
6	106186291	106186362
6	106181878	106182233
6	106188539	106188664
6	106250223	106250438
6	106306725	106306900
6	106273914	106274140
6	106312377	106312451
6	106261303	106261374
6	106278917	106279104
6	106323673	106323751
6	106314151	106314233
6	106313364	106313442
6	106332195	106332241
6	106192933	106193088
6	106225982	106226021
6	106305769	106305903
6	106273517	106273798
6	106325414	106325667
6	106311471	106311658
6	106195928	106196159
6	106246217	106246293
6	106325472	106325860
6	106210203	106210274
6	106204594	106204730
6	106263283	106263539
6	106195294	106195459
