CHR	Start	End
6	106267726	106267999
6	106237726	106238118
6	106261000	106261106
6	106257831	106257898
6	106203838	106204048
6	106206361	106206712
6	106206361	106206713
6	106325945	106326003
6	106339508	106339897
6	106317440	106317510
6	106325578	106325865
6	106325367	106325508
6	106261668	106261708
6	106333175	106333231
6	106221503	106221548
6	106242257	106242374
6	106310578	106310686
6	106249876	106250030
6	106202239	106202314
6	106226020	106226053
6	106259339	106259445
6	106339873	106339928
6	106235107	106235227
6	106325462	106325624
6	106195550	106195608
6	106322204	106322279
6	106276519	106276691
6	106262451	106262579
6	106193768	106193855
6	106325527	106325871
6	106253308	106253399
6	106332941	106333180
6	106275824	106275909
6	106303948	106304024
6	106323187	106323220
6	106185429	106185727
6	106300025	106300276
6	106275714	106275789
6	106210140	106210194
6	106192155	106192382
6	106200541	106200577
6	106243597	106243703
6	106232582	106232666
6	106208060	106208147
6	106288053	106288189
6	106219454	106219637
6	106329395	106329668
6	106245108	106245230
6	106214359	106214495
6	106259746	106259778
6	106325855	106326196
6	106259778	106260078
6	106261119	106261184
6	106333350	106333490
6	106325368	106325602
6	106254812	106254870
6	106213337	106213509
6	106284781	106285176
6	106191622	106191669
6	106278570	106278695
6	106284781	106285175
6	106339426	106339504
6	106220674	106220739
6	106239017	106239255
6	106335331	106335372
6	106285994	106286149
6	106206624	106206827
6	106316547	106316717
6	106328662	106328714
6	106335648	106335792
6	106209447	106209697
6	106329792	106329874
6	106325780	106325885
6	106302014	106302100
6	106220796	106221026
6	106225803	106225992
6	106325382	106325478
6	106209447	106209698
6	106309988	106310092
6	106312390	106312764
6	106299225	106299395
6	106327336	106327532
6	106326242	106326396
6	106332670	106332734
6	106295719	106295801
6	106181620	106181752
6	106187781	106187838
6	106325703	106325790
6	106231948	106232040
6	106206938	106207016
6	106283480	106283621
6	106248901	106248985
6	106188810	106188881
6	106252845	106253021
6	106232109	106232259
6	106335368	106335440
6	106245223	106245436
6	106321646	106321725
6	106325658	106325843
6	106333386	106333598
6	106186940	106186982
6	106281546	106281612
6	106194268	106194340
6	106198997	106199062
6	106325705	106325907
6	106227460	106227654
6	106320140	106320390
6	106320140	106320391
6	106325292	106325337
6	106325292	106325343
6	106325311	106325399
6	106325696	106325768
6	106235676	106235900
6	106179973	106180035
6	106262265	106262345
6	106180397	106180438
6	106198279	106198414
6	106256622	106256743
6	106325837	106325874
6	106325570	106325762
6	106310500	106310633
6	106281633	106281715
6	106325677	106325738
6	106308473	106308701
6	106296428	106296533
6	106217983	106218163
6	106236290	106236360
6	106335305	106335406
6	106328638	106328931
6	106250988	106251020
6	106310641	106310714
6	106339323	106339431
6	106324261	106324530
6	106273571	106273798
6	106220936	106221008
6	106309331	106309396
6	106180182	106180428
6	106259199	106259314
6	106247774	106248054
6	106339864	106340013
6	106244545	106244769
6	106207590	106207956
6	106274478	106274530
6	106200917	106201020
6	106224805	106224849
6	106247208	106247442
6	106229129	106229207
6	106219417	106219546
6	106325551	106325836
6	106329341	106329436
6	106198767	106198886
6	106220650	106220991
6	106325725	106325843
6	106191996	106192178
6	106325783	106325889
6	106287331	106287405
6	106325430	106325522
6	106324956	106325327
6	106327445	106327584
6	106201395	106201467
6	106325779	106325879
6	106325169	106325252
6	106235244	106235305
6	106239821	106239937
6	106325715	106325874
6	106325723	106325852
6	106326687	106326811
6	106339642	106339726
6	106312870	106312915
6	106316548	106316717
6	106325760	106325883
6	106202113	106202180
6	106242042	106242212
6	106323426	106323468
6	106222182	106222318
6	106203875	106204008
6	106273375	106273442
6	106325694	106325956
6	106325693	106325956
6	106319154	106319245
6	106286623	106286838
6	106280131	106280342
6	106287314	106287500
6	106332666	106332743
6	106298104	106298160
6	106247152	106247466
6	106244039	106244127
6	106204038	106204168
6	106223968	106224134
6	106306987	106307071
6	106336979	106337103
6	106325344	106325622
6	106259838	106259915
6	106207482	106207599
6	106271270	106271339
6	106325561	106325643
6	106262211	106262402
6	106336199	106336318
6	106244863	106245129
6	106302587	106302675
6	106325243	106325303
6	106317229	106317416
6	106206683	106207079
6	106205950	106206134
6	106241250	106241332
6	106237345	106237430
6	106247896	106248104
6	106180206	106180251
6	106234663	106234754
6	106203623	106203727
6	106273302	106273351
6	106340557	106340676
6	106246304	106246377
6	106325634	106325773
6	106307498	106307565
6	106181509	106181772
6	106286832	106286877
6	106219178	106219246
6	106254420	106254546
6	106247803	106247872
6	106234272	106234384
6	106273323	106273361
6	106325523	106325647
6	106220856	106220930
6	106326621	106326675
6	106224644	106224725
6	106219563	106219669
6	106291592	106291748
6	106325886	106326083
6	106313220	106313649
6	106317162	106317435
6	106300806	106300977
6	106247735	106247836
6	106180609	106180659
6	106313222	106313648
6	106269600	106269726
6	106223474	106223525
6	106268841	106268921
6	106316008	106316065
6	106219398	106219546
6	106278053	106278260
6	106251753	106251833
6	106188945	106189055
6	106293231	106293306
6	106334337	106334404
6	106279952	106280180
6	106239991	106240049
6	106322542	106322659
6	106325809	106325876
6	106197333	106197442
6	106201130	106201309
6	106335224	106335285
6	106325298	106325462
6	106195091	106195163
6	106325874	106326063
6	106188148	106188367
6	106323874	106324063
6	106323875	106324063
6	106331665	106331816
6	106230664	106230790
6	106285946	106286075
6	106207829	106207889
6	106180338	106180416
6	106252700	106252743
6	106339426	106339476
6	106335550	106335802
6	106325386	106325648
6	106329239	106329364
6	106325424	106325520
6	106187611	106187864
6	106258469	106258628
6	106335648	106335790
6	106327422	106327483
6	106263759	106263835
6	106210687	106210740
6	106205210	106205269
6	106325715	106325769
6	106220733	106220948
6	106200542	106200624
6	106269412	106269527
6	106211432	106211653
6	106197011	106197092
6	106195727	106195855
6	106247872	106248063
6	106250402	106250531
6	106190858	106191077
6	106332810	106333015
6	106260128	106260243
6	106334261	106334541
6	106235510	106235575
6	106190270	106190419
6	106324978	106325098
6	106261645	106261708
6	106188044	106188168
6	106331334	106331386
6	106256635	106256670
6	106195662	106195743
6	106266841	106266888
6	106332281	106332432
6	106325173	106325570
6	106297745	106297815
6	106325462	106325843
6	106207754	106207813
6	106220576	106220727
6	106325474	106325728
6	106224260	106224398
6	106325483	106325557
6	106325754	106325870
6	106325378	106325629
6	106261719	106261778
6	106179844	106179966
6	106233264	106233394
6	106325666	106325714
6	106219406	106219526
6	106341222	106341259
6	106248072	106248115
6	106181889	106181927
6	106270632	106270703
6	106189238	106189590
6	106325270	106325294
6	106200465	106200729
6	106325678	106325870
6	106327406	106327474
6	106236338	106236413
6	106285761	106285868
6	106303167	106303285
6	106325178	106325595
6	106204972	106205120
6	106281125	106281186
6	106311512	106311557
6	106276621	106276677
6	106325551	106325604
6	106226092	106226220
6	106305689	106305784
6	106218156	106218274
6	106199278	106199362
6	106191897	106192000
6	106336523	106336621
6	106245106	106245180
6	106285019	106285125
6	106254471	106254548
6	106305022	106305181
6	106325391	106325510
6	106301935	106302172
6	106247445	106247575
6	106187139	106187216
6	106321160	106321332
6	106321160	106321330
6	106335212	106335276
6	106209557	106209662
6	106339870	106340225
6	106325609	106325714
6	106325571	106325725
6	106326316	106326477
6	106280665	106280741
6	106325658	106325750
6	106325542	106325634
6	106319958	106320033
6	106195672	106195803
6	106261842	106261903
6	106300626	106300680
6	106207688	106207906
6	106272140	106272239
6	106199882	106200038
6	106268338	106268550
6	106194999	106195237
6	106202324	106202438
6	106336366	106336461
6	106206510	106206618
6	106293393	106293618
6	106281213	106281315
6	106220729	106220786
6	106325231	106325435
6	106315786	106315885
6	106195072	106195237
6	106292542	106292594
6	106313873	106313914
6	106232223	106232275
6	106246190	106246316
6	106257450	106257505
6	106266835	106266970
6	106323573	106323652
6	106211706	106211780
6	106301676	106301736
6	106273666	106273903
6	106281300	106281434
6	106220049	106220167
6	106268336	106268552
6	106250314	106250369
6	106227995	106228091
6	106202848	106202932
6	106244611	106244701
6	106325447	106325565
6	106328117	106328262
6	106310112	106310178
6	106316947	106317115
6	106330277	106330361
6	106325449	106325515
6	106325390	106325499
6	106269119	106269178
6	106301598	106301667
6	106236510	106236629
6	106234754	106234848
6	106327311	106327431
6	106313881	106313933
6	106297830	106297999
6	106309650	106309735
6	106338893	106338980
6	106242918	106243166
6	106339556	106339612
6	106257351	106257510
6	106322558	106322611
6	106248568	106248678
6	106324965	106325173
6	106320799	106320868
6	106325723	106325874
6	106264002	106264215
6	106284778	106284882
6	106246256	106246319
6	106338192	106338400
6	106284157	106284572
6	106284157	106284571
6	106288018	106288063
6	106273469	106273798
6	106325632	106325705
6	106295843	106295904
6	106257100	106257196
6	106325615	106325668
6	106304566	106304661
6	106219852	106219973
