CHR	Start	End
6	106333345	106333492
6	106195855	106196174
6	106300686	106300786
6	106202723	106202787
6	106211607	106211733
6	106268405	106268501
6	106327576	106327624
6	106200719	106200753
6	106297796	106297946
6	106181691	106181809
6	106215119	106215232
6	106259917	106260078
6	106289472	106289611
6	106334264	106334454
6	106223429	106223530
6	106183630	106183857
6	106193018	106193125
6	106227926	106228102
6	106183465	106183564
6	106224389	106224529
6	106325650	106325709
6	106233947	106234099
6	106260722	106260770
6	106272751	106272914
6	106339284	106339487
6	106182139	106182275
6	106237486	106237578
6	106319813	106319908
6	106326251	106326512
6	106325178	106325328
6	106325351	106325525
6	106245161	106245347
6	106182070	106182137
6	106275865	106275958
6	106241935	106241976
6	106192664	106192728
6	106279373	106279466
6	106288666	106288794
6	106218441	106218676
6	106195100	106195366
6	106250563	106250742
6	106182511	106182900
6	106325724	106325790
6	106317962	106318305
6	106332783	106332858
6	106325452	106325580
6	106325342	106325439
6	106234004	106234111
6	106304516	106304634
6	106205899	106206172
6	106330963	106331012
6	106219222	106219307
6	106325698	106325742
6	106325458	106325483
6	106238647	106238868
6	106324909	106324967
6	106323317	106323423
6	106325764	106325862
6	106180950	106181137
6	106291930	106292146
6	106334815	106334912
6	106319429	106319551
6	106279377	106279615
6	106222030	106222128
6	106315138	106315178
6	106217050	106217172
6	106311479	106311618
6	106195984	106196036
6	106239877	106240020
6	106299838	106300020
6	106325179	106325390
6	106325092	106325157
6	106196822	106197027
6	106324533	106324776
6	106230012	106230346
6	106301935	106302117
6	106275632	106275768
6	106266506	106266638
6	106198961	106199053
6	106251214	106251272
6	106194961	106195098
6	106213720	106213820
6	106273512	106273586
6	106211572	106211733
6	106262616	106262744
6	106244476	106244532
6	106324115	106324154
6	106339584	106339671
6	106328262	106328364
6	106228284	106228378
6	106325852	106325960
6	106311807	106312030
6	106325364	106325533
6	106304313	106304377
6	106323952	106324164
6	106246546	106246630
6	106288541	106288635
6	106325345	106325363
6	106195359	106195425
6	106325596	106325788
6	106326335	106326720
6	106316150	106316197
6	106271059	106271192
6	106340532	106340766
6	106330103	106330282
6	106272397	106272550
6	106325366	106325551
6	106274426	106274509
6	106321589	106321749
6	106182138	106182275
6	106262044	106262139
6	106325608	106325707
6	106303390	106303737
6	106265657	106265885
6	106313158	106313346
6	106188576	106188623
6	106325514	106325781
6	106276449	106276549
6	106330689	106330758
6	106325490	106325662
6	106334495	106334574
6	106313758	106313967
6	106270652	106270875
6	106286175	106286277
6	106188567	106188709
6	106195588	106195712
6	106326999	106327074
6	106265841	106266172
6	106198005	106198340
6	106318199	106318303
6	106325443	106325651
6	106224309	106224373
6	106332426	106332499
6	106312800	106312916
6	106233709	106233847
6	106325967	106326101
6	106334815	106334913
6	106325707	106325762
6	106326237	106326386
6	106208800	106208905
6	106257385	106257433
6	106290688	106290749
6	106340788	106340912
6	106211120	106211273
6	106300023	106300278
6	106254094	106254190
6	106222030	106222113
6	106192868	106192935
6	106321586	106321749
6	106204839	106204972
6	106325798	106325901
6	106308871	106308958
6	106198521	106198673
6	106233844	106233970
6	106282416	106282521
6	106307980	106308094
6	106204106	106204162
6	106260548	106260714
6	106185077	106185126
6	106248023	106248226
6	106259826	106260089
6	106234794	106234871
6	106325448	106325629
6	106326460	106326568
6	106230553	106230598
6	106339120	106339267
6	106289147	106289281
6	106195162	106195315
6	106336561	106336600
6	106229793	106229869
6	106267905	106268060
6	106325173	106325560
6	106224384	106224445
6	106224056	106224122
6	106285573	106285627
6	106297732	106297791
6	106194762	106194960
6	106325707	106325788
6	106194945	106195247
6	106180501	106180715
6	106244053	106244123
6	106314377	106314532
6	106300464	106300671
6	106182824	106183083
6	106301739	106301864
6	106229248	106229343
6	106318198	106318303
6	106338649	106338891
6	106180197	106180263
6	106253278	106253327
6	106222217	106222318
6	106328951	106329058
6	106263223	106263258
6	106262079	106262261
6	106231378	106231618
6	106325539	106325659
6	106318579	106318716
6	106215634	106216021
6	106191289	106191436
6	106325383	106325444
6	106325634	106325984
6	106334323	106334398
6	106194941	106195139
6	106272317	106272540
